event_name,round,match,team,judge_name,judges_total_score,judge_point
Seoul,1,2,BROTHERHOOD,Comfort Fedoke,87.5,1
Seoul,1,2,BROTHERHOOD,Gina Michael,87.5,1
Seoul,1,2,BROTHERHOOD,Haeni Kim,87.0,1
Seoul,1,2,BROTHERHOOD,Nicolas Begin,90.5,1
Seoul,1,2,QUICK STYLE,Amari Marshall,82.0,0
Seoul,1,2,QUICK STYLE,Cheyenne Kibblewhite,81.0,0
Seoul,1,2,QUICK STYLE,Comfort Fedoke,86.5,0
Seoul,1,2,QUICK STYLE,Gina Michael,86.0,0
Seoul,1,2,QUICK STYLE,Haeni Kim,85.0,0
Seoul,1,2,QUICK STYLE,Nicolas Begin,88.5,0
Seoul,1,3,1MILLION,Amari Marshall,87.5,1
Seoul,1,3,1MILLION,Cheyenne Kibblewhite,88.5,1
Seoul,1,3,1MILLION,Comfort Fedoke,89.5,1
Seoul,1,3,1MILLION,Gina Michael,87.5,1
Seoul,1,3,1MILLION,Haeni Kim,86.5,1
Seoul,1,3,1MILLION,Nicolas Begin,90.0,0
Seoul,1,3,JAM REPUBLIC,Amari Marshall,84.5,0
Seoul,1,3,JAM REPUBLIC,Cheyenne Kibblewhite,85.5,0
Seoul,1,3,JAM REPUBLIC,Comfort Fedoke,86.5,0
Seoul,1,3,JAM REPUBLIC,Gina Michael,86.5,0
Seoul,1,3,JAM REPUBLIC,Haeni Kim,80.0,0
Seoul,1,3,JAM REPUBLIC,Nicolas Begin,90.5,1
Seoul,2,1,1MILLION,Amari Marshall,89.0,0
Seoul,2,1,1MILLION,Cheyenne Kibblewhite,89.0,0
Seoul,2,1,1MILLION,Comfort Fedoke,91.0,1
Seoul,2,1,1MILLION,Gina Michael,90.0,1
Seoul,2,1,1MILLION,Haeni Kim,88.5,0
Seoul,2,1,1MILLION,Nicolas Begin,90.0,0
Seoul,2,1,BROTHERHOOD,Amari Marshall,93.0,1
Seoul,2,1,BROTHERHOOD,Cheyenne Kibblewhite,90.0,1
Seoul,2,1,BROTHERHOOD,Comfort Fedoke,91.0,1
Seoul,2,1,BROTHERHOOD,Gina Michael,90.0,1
Seoul,2,1,BROTHERHOOD,Haeni Kim,93.5,1
Seoul,2,1,BROTHERHOOD,Nicolas Begin,92.0,1
Seoul,2,1,ROYAL FAMILY,Amari Marshall,89.0,0
Seoul,2,1,ROYAL FAMILY,Cheyenne Kibblewhite,87.5,0
Seoul,2,1,ROYAL FAMILY,Comfort Fedoke,88.5,0
Seoul,2,1,ROYAL FAMILY,Gina Michael,87.5,0
Seoul,2,1,ROYAL FAMILY,Haeni Kim,85.0,0
Seoul,2,1,ROYAL FAMILY,Nicolas Begin,89.5,0
Sydney,1,1,GRV,Arnel Calvario,91.0,1
Sydney,1,1,GRV,Chonique Sneed,89.0,1
Sydney,1,1,GRV,Comfort Fedoke,89.0,1
Sydney,1,1,GRV,Mel Charlot,89.0,1
Sydney,1,1,GRV,Shaun Evaristo,85.0,1
Sydney,1,1,GRV,Stephen Grey,90.0,1
Sydney,1,1,JAM REPUBLIC,Arnel Calvario,81.0,0
Sydney,1,1,JAM REPUBLIC,Chonique Sneed,84.0,0
Sydney,1,1,JAM REPUBLIC,Comfort Fedoke,81.0,0
Sydney,1,1,JAM REPUBLIC,Mel Charlot,81.0,0
Sydney,1,1,JAM REPUBLIC,Shaun Evaristo,82.0,0
Sydney,1,1,JAM REPUBLIC,Stephen Grey,77.0,0
Sydney,1,2,1MILLION,Arnel Calvario,89.0,1
Sydney,1,2,1MILLION,Chonique Sneed,84.0,1
Sydney,1,2,1MILLION,Comfort Fedoke,87.0,1
Sydney,1,2,1MILLION,Mel Charlot,86.0,1
Sydney,1,2,1MILLION,Shaun Evaristo,86.0,1
Sydney,1,2,1MILLION,Stephen Grey,84.0,1
Sydney,1,2,QUICK STYLE,Arnel Calvario,87.0,0
Sydney,1,2,QUICK STYLE,Chonique Sneed,82.0,0
Sydney,1,2,QUICK STYLE,Comfort Fedoke,81.0,0
Sydney,1,2,QUICK STYLE,Mel Charlot,79.0,0
Sydney,1,2,QUICK STYLE,Shaun Evaristo,83.0,0
Sydney,1,2,QUICK STYLE,Stephen Grey,80.0,0
Sydney,1,3,BROTHERHOOD,Arnel Calvario,92.0,1
Sydney,1,3,BROTHERHOOD,Chonique Sneed,90.0,1
Sydney,1,3,BROTHERHOOD,Comfort Fedoke,93.0,1
Sydney,1,3,BROTHERHOOD,Mel Charlot,94.0,1
Sydney,1,3,BROTHERHOOD,Shaun Evaristo,91.0,1
Sydney,1,3,BROTHERHOOD,Stephen Grey,93.0,1
Sydney,1,3,ROYAL FAMILY,Arnel Calvario,91.0,0
Sydney,1,3,ROYAL FAMILY,Chonique Sneed,84.0,0
Sydney,1,3,ROYAL FAMILY,Comfort Fedoke,91.0,0
Sydney,1,3,ROYAL FAMILY,Mel Charlot,90.0,0
Sydney,1,3,ROYAL FAMILY,Shaun Evaristo,86.0,0
Sydney,1,3,ROYAL FAMILY,Stephen Grey,87.0,0
Sydney,2,1,1MILLION,Arnel Calvario,91.0,0
Sydney,2,1,1MILLION,Chonique Sneed,88.0,0
Sydney,2,1,1MILLION,Comfort Fedoke,91.0,0
Sydney,2,1,1MILLION,Mel Charlot,87.0,0
Sydney,2,1,1MILLION,Shaun Evaristo,89.0,0
Sydney,2,1,1MILLION,Stephen Grey,89.0,0
Sydney,2,1,BROTHERHOOD,Arnel Calvario,92.0,0
Sydney,2,1,BROTHERHOOD,Chonique Sneed,92.0,1
Sydney,2,1,BROTHERHOOD,Comfort Fedoke,93.0,1
Sydney,2,1,BROTHERHOOD,Mel Charlot,93.0,1
Sydney,2,1,BROTHERHOOD,Shaun Evaristo,93.0,1
Sydney,2,1,BROTHERHOOD,Stephen Grey,92.0,0
Sydney,2,1,GRV,Arnel Calvario,93.0,1
Sydney,2,1,GRV,Chonique Sneed,89.0,0
Sydney,2,1,GRV,Comfort Fedoke,91.0,0
Sydney,2,1,GRV,Mel Charlot,89.0,0
Sydney,2,1,GRV,Shaun Evaristo,89.0,0
Sydney,2,1,GRV,Stephen Grey,93.0,1
Vancouver,1,1,1MILLION,Carlos Irizarry,90.0,1
Vancouver,1,1,1MILLION,Cheyenne Kibblewhite,89.0,0
Vancouver,1,1,1MILLION,Comfort Fedoke,90.0,1
Vancouver,1,1,1MILLION,Handy Yacinthe,84.0,1
Vancouver,1,1,1MILLION,Nicolas Begin,86.0,0
Vancouver,1,1,1MILLION,Stephen Grey,83.0,0
Vancouver,1,1,ROYAL FAMILY,Carlos Irizarry,84.0,0
Vancouver,1,1,ROYAL FAMILY,Cheyenne Kibblewhite,91.0,1
Vancouver,1,1,ROYAL FAMILY,Comfort Fedoke,87.0,0
Vancouver,1,1,ROYAL FAMILY,Handy Yacinthe,81.0,0
Vancouver,1,1,ROYAL FAMILY,Nicolas Begin,88.0,1
Vancouver,1,1,ROYAL FAMILY,Stephen Grey,84.0,1
Vancouver,1,2,JAM REPUBLIC,Carlos Irizarry,88.0,1
Vancouver,1,2,JAM REPUBLIC,Cheyenne Kibblewhite,88.0,1
Vancouver,1,2,JAM REPUBLIC,Comfort Fedoke,91.0,1
Vancouver,1,2,JAM REPUBLIC,Handy Yacinthe,86.0,1
Vancouver,1,2,JAM REPUBLIC,Nicolas Begin,91.0,1
Vancouver,1,2,JAM REPUBLIC,Stephen Grey,86.0,1
Vancouver,1,2,QUICK STYLE,Carlos Irizarry,83.0,0
Vancouver,1,2,QUICK STYLE,Cheyenne Kibblewhite,87.0,0
Vancouver,1,2,QUICK STYLE,Comfort Fedoke,85.0,0
Vancouver,1,2,QUICK STYLE,Handy Yacinthe,81.0,0
Vancouver,1,2,QUICK STYLE,Nicolas Begin,86.0,0
Vancouver,1,2,QUICK STYLE,Stephen Grey,82.0,0
Vancouver,1,3,BROTHERHOOD,Carlos Irizarry,95.0,1
Vancouver,1,3,BROTHERHOOD,Cheyenne Kibblewhite,94.0,1
Vancouver,1,3,BROTHERHOOD,Comfort Fedoke,95.0,1
Vancouver,1,3,BROTHERHOOD,Handy Yacinthe,91.0,1
Vancouver,1,3,BROTHERHOOD,Nicolas Begin,94.0,1
Vancouver,1,3,BROTHERHOOD,Stephen Grey,90.0,1
Vancouver,1,3,GRV,Carlos Irizarry,94.0,0
Vancouver,1,3,GRV,Cheyenne Kibblewhite,93.0,0
Vancouver,1,3,GRV,Comfort Fedoke,89.0,0
Vancouver,1,3,GRV,Handy Yacinthe,89.0,0
Vancouver,1,3,GRV,Nicolas Begin,88.0,0
Vancouver,1,3,GRV,Stephen Grey,88.0,0
Vancouver,2,1,1MILLION,Carlos Irizarry,86.0,0
Vancouver,2,1,1MILLION,Cheyenne Kibblewhite,86.0,0
Vancouver,2,1,1MILLION,Comfort Fedoke,87.0,0
Vancouver,2,1,1MILLION,Handy Yacinthe,85.0,0
Vancouver,2,1,1MILLION,Nicolas Begin,88.0,0
