event,date,venue,round,match,team,fan_vote_count,judge,category,score,total_fan_votes
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Creativity,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Cleanliness,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Spacing,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Projection/Communication,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Staging,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Musicality,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Creativity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Spacing,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Projection/Communication,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Amari Marshall,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Creativity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Cleanliness,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Technical Execution + Authenticity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Spacing,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Projection/Communication,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Amari Marshall,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Choreography Complexity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Staging,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Creativity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Spacing,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Projection/Communication,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arnel Calvario,Stamina,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Choreography Complexity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Staging,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Musicality,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Creativity,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Spacing,8.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Projection/Communication,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arnel Calvario,Stamina,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Choreography Complexity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Staging,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Musicality,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Creativity,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Stylistic Athleticism,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Cleanliness,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Technical Execution + Authenticity,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Spacing,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Projection/Communication,9.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,BROTHERHOOD,2225,Arturo Lyons,Stamina,10.0,2924
New York,2026-05-02,Hammerstein Ballroom,1,2,1MILLION,699,Arturo Lyons,Choreography Complexity,7.0,2924
